Surface,NbPieces,NbChambres,NbSDB,Prix,Type_Appartement,Type_Maison,DPE_A,DPE_B,DPE_C,DPE_D,DPE_E,DPE_F,DPE_Vierge,latitude,longitude
70,4,3,1,217000,1,0,0,0,0,0,1,0,0,48.749986765,2.299028344
143,6,4,1,510000,0,1,0,0,0,1,0,0,0,48.778351142,1.960991753
39,2,1,1,109000,1,0,0,0,0,0,0,1,0,48.962720904,1.849559735
126,5,3,1,190000,0,1,0,0,1,0,0,0,0,48.518703129,3.153103494
20,1,1,1,145000,1,0,0,0,0,0,1,0,0,48.802292474,2.117410101
83,4,3,1,485000,1,0,1,0,0,0,0,0,0,48.804093282,2.227332801
74,4,2,1,360000,1,0,0,0,0,1,0,0,0,48.796455388,2.254300971
347,12,7,3,995000,0,1,0,0,0,0,0,1,0,49.020043434,2.247039527
33,1,1,1,106000,1,0,0,0,0,1,0,0,0,48.836665517,2.481752082
130,7,5,1,349900,0,1,0,0,0,0,1,0,0,49.140404504,2.30024802
77,3,2,1,440000,1,0,0,0,0,1,0,0,0,48.898544399,2.409100445
15,1,2,1,154000,1,0,0,0,0,0,1,0,0,48.887051437,2.384822082
95,5,3,1,349000,0,1,0,0,0,1,0,0,0,48.404341685,2.7812787720000003
31,1,1,1,245000,1,0,0,1,0,0,0,0,0,48.86351321,2.448636297
136,7,4,1,375000,0,1,0,0,0,1,0,0,0,48.535810688,1.941191495
170,7,3,1,420000,0,1,0,0,0,0,1,0,0,48.565851545,2.036948095
14,1,1,1,189000,1,0,0,0,0,0,1,0,0,48.885661807,2.266596324
194,9,6,1,615000,0,1,0,0,0,1,0,0,0,48.848168369,2.59644265
160,7,4,2,380000,0,1,0,0,1,0,0,0,0,48.702823561,2.337357273
30,1,1,1,134500,1,0,0,0,0,0,1,0,0,48.998365533,1.69406992
122,5,3,1,270000,0,1,0,0,0,1,0,0,0,48.661219416,2.264997188
121,5,3,1,455000,0,1,0,0,0,1,0,0,0,48.745502894,2.489056972
28,2,1,1,165300,1,0,0,0,0,1,0,0,0,48.830863087,2.722990758
19,1,1,1,212000,1,0,0,0,0,0,0,1,0,48.876129334,2.360715102
90,4,3,1,275000,1,0,0,0,1,0,0,0,0,48.862764338,2.539943497
161,7,5,2,529000,0,1,0,0,0,1,0,0,0,48.558579656,2.438037857
125,6,4,1,595000,0,1,0,0,0,0,1,0,0,48.939819605,2.17448669
31,2,1,1,393400,1,0,0,0,0,0,0,0,1,48.829262233,2.326537267
40,2,1,1,550000,1,0,0,0,0,0,0,0,1,48.872724688,2.312557715
101,4,3,1,230000,1,0,0,0,0,1,0,0,0,48.645608238,2.40818892
169,9,5,1,268000,0,1,0,0,1,0,0,0,0,48.840071988,2.292837347
64,3,2,1,170000,1,0,0,0,0,0,0,0,1,48.956644571,2.384861241
20,1,1,1,195000,1,0,0,0,0,0,0,1,0,48.828424546,2.3622537660000003
44,1,1,1,233000,1,0,0,0,0,1,0,0,0,48.829192097,2.119984317
50,2,1,1,420000,1,0,0,0,0,0,1,0,0,48.887331019,2.306778316
120,7,5,1,489000,0,1,0,0,0,1,0,0,0,49.020680055,2.10161862
93,4,3,1,309000,0,1,0,0,0,0,0,0,1,48.942941014,2.675081572
143,6,5,1,320000,0,1,0,0,0,1,0,0,0,49.011064768,1.888263613
60,3,2,1,285000,0,1,0,0,0,0,0,0,1,48.991738548,2.320739048
70,3,2,1,160000,1,0,0,0,0,0,1,0,0,48.951531886,2.240388744
52,2,1,1,140000,1,0,0,0,0,0,0,0,1,48.862549876,2.336419316
138,5,3,1,220000,0,1,0,0,1,0,0,0,0,48.540826838,3.073142083
93,5,4,1,239000,0,1,0,0,1,0,0,0,0,48.603961987,2.46946055
83,5,4,1,385000,0,1,0,0,0,0,1,0,0,48.492422234,2.179876174
71,3,2,1,575000,1,0,0,0,1,0,0,0,0,48.892570317,2.348176598
57,3,2,1,329000,1,0,0,0,0,0,0,0,1,48.869374523,2.17771477
1,3,2,1,100000,1,0,0,0,0,0,0,0,1,48.862549876,2.336419316
60,2,1,1,689000,1,0,0,0,0,1,0,0,0,48.885661807,2.266596324
56,3,2,1,230000,1,0,0,0,0,0,1,0,0,48.929643578,2.359289324
26,1,2,1,129900,1,0,0,0,0,0,1,0,0,48.902243865,2.484137001
75,3,2,1,475000,1,0,0,0,0,1,0,0,0,48.840071988,2.292837347
82,3,2,1,168000,1,0,0,0,1,0,0,0,0,48.632105215,2.312175448
85,5,3,1,370000,1,0,0,0,0,0,0,0,1,48.846861121,2.13446886
180,6,5,1,525000,0,1,0,0,0,1,0,0,0,48.836247784,2.564607121
90,4,3,1,700000,1,0,0,0,0,0,1,0,0,48.836400822,2.239066161
13,1,1,1,149000,1,0,0,0,0,0,1,0,0,48.876129334,2.360715102
16,1,1,1,80000,1,0,0,0,0,0,1,0,0,48.695926703,2.235331474
30,1,1,1,270000,1,0,0,0,0,0,0,0,1,48.840071988,2.292837347
67,3,1,1,650000,1,0,0,0,0,0,0,0,1,48.819648936,2.470749433
13,1,1,1,149000,1,0,0,0,0,1,0,0,0,48.876129334,2.360715102
101,6,4,1,379000,0,1,0,0,0,1,0,0,0,49.128484415,2.435953796
84,5,3,1,165000,1,0,0,0,1,0,0,0,0,48.989294485,1.91391108
68,3,2,1,237900,1,0,0,0,0,0,1,0,0,48.87491844,2.48590027
74,4,3,1,180000,1,0,0,0,0,1,0,0,0,48.689811714,2.30290407
150,7,5,1,1320000,0,1,0,0,1,0,0,0,0,48.829192097,2.119984317
38,2,1,1,220000,1,0,0,0,0,0,0,0,1,48.922750857,2.247051842
46,2,1,1,259000,1,0,0,1,0,0,0,0,0,48.783876041,2.19738706
72,3,2,1,143000,1,0,0,0,0,1,0,0,0,48.645608238,2.40818892
18,1,2,1,155000,1,0,0,0,0,0,1,0,0,48.884753073,2.405680234
79,4,2,1,292000,1,0,0,0,0,1,0,0,0,48.785828066,2.539660672
40,2,1,1,249000,1,0,0,0,0,0,0,0,1,48.87491844,2.48590027
120,5,4,1,151000,0,1,0,0,0,0,1,0,0,48.478498645,3.117973352
73,3,2,1,131000,0,1,0,0,1,0,0,0,0,48.478498645,3.117973352
106,5,4,1,410000,0,1,0,0,0,0,0,1,0,48.98831458,2.224194522
95,4,2,1,1315000,1,0,0,0,0,1,0,0,0,48.87716521,2.337456318
141,6,4,1,460000,0,1,0,0,1,0,0,0,0,48.939482289,2.461086127
82,4,3,1,310000,0,1,0,1,0,0,0,0,0,48.641188588,2.330441408
110,5,4,1,398000,0,1,0,0,0,0,1,0,0,48.558579656,2.438037857
55,2,1,1,216000,1,0,0,0,0,1,0,0,0,48.650022012,2.483650956
31,1,2,1,440000,1,0,0,0,0,0,0,1,0,48.854350603,2.357625608
55,2,1,1,130000,1,0,0,0,1,0,0,0,0,48.741877726,2.449089194
81,5,3,1,425000,0,1,0,0,0,0,0,0,1,49.026361092,2.220661508
156,7,5,1,599000,0,1,0,0,0,1,0,0,0,48.77621691,2.337698598
62,3,2,1,365000,1,0,0,0,0,0,1,0,0,48.798824614,2.494496787
90,4,1,1,1600000,1,0,0,0,0,1,0,0,0,48.84912057,2.332883793
137,6,4,2,515000,0,1,1,0,0,0,0,0,0,48.999997129,2.098929195
82,5,3,1,335000,0,1,0,0,1,0,0,0,0,48.527215604,2.270985877
32,2,1,1,89700,1,0,0,0,0,0,0,1,0,48.65354393,1.82640777
48,1,1,1,130000,1,0,0,0,0,0,1,0,0,48.65354393,1.82640777
30,2,1,1,150000,1,0,0,0,0,0,1,0,0,48.65354393,1.82640777
19,1,1,1,270000,1,0,0,0,0,0,0,1,0,48.862549876,2.336419316
50,2,1,1,595000,1,0,0,0,0,0,0,1,0,48.840071988,2.292837347
82,5,3,1,225000,0,1,0,0,0,0,0,0,1,48.368565322,2.930845994
